SrcEntity	TgtEntity	Relation	Score
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Timeline_9:_The_Mandalorian_Wars	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Timeline_9:_The_Mandalorian_Wars	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/property/width	http://dbkwik.webdatacommons.org/swtor.wikia.com/property/width	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Thon%27s_Jedi_Master	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Thon%27s_Jedi_Master	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Paran_Am-Ris	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Paran_Am-Ris	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Force_speed	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Force_Speed	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/property/title	http://dbkwik.webdatacommons.org/swtor.wikia.com/property/title	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/property/moon	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Moon	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Georgia_Van_Cuylenburg	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Georgia_Van_Cuylenburg	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Brian_Bloom	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Brian_Bloom	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Skyslasher	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Skyslasher	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Lahzar	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Lahzar	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mako	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Mako	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gil	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Gil	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Zhar.jpg?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Zhar.jpg?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Character_infobox_templates	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Character_Infobox_Templates	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Teroch-type_gunship	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Teroch-type_gunship	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Hylo_Visz	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Hylo_Visz	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gav_Daragon	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Gav_Daragon	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Orlean_Rebel.png?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Orlean_Rebel.png?width=300	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Revanchist_Sith.svg	http://swtor.wikia.com/wiki/Special:FilePath/Revanchist_Sith.svg	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Ceremonies	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Ceremonies	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Drall	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Drall	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Marl_Dakwin.png?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Marl_Dakwin.png?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Media	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Media	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Rust_Yards	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Rust_Yards	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Galaxy	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Galaxy	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Kell_dragon	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Kell_Dragon	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Sith_Inquisitor_TOR.jpg?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Sith_Inquisitor_TOR.jpg?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Aldren_Dayos	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Aldren_Dayos	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Drev_Hassin	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Drev_Hassin	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Talaos_City	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Talaos_City	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Guild_Bank	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Guild_Bank	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nebulon_Ranger	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Nebulon_Ranger	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Mandalorian_Neo-Crusader_armor.png?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Mandalorian_Neo-Crusader_armor.png?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Barel_Ovair%27s_father	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Barel_Ovair%27s_father	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/IL-5_Ocula.png	http://swtor.wikia.com/wiki/Special:FilePath/IL-5_Ocula.png	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Selonians	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Selonians	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Beast_of_Marka_Ragnos	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Beast_of_Marka_Ragnos	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Talos_Drellik.png?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Talos_Drellik.png?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Benevolence	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Benevolence	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Mira_(Mirialan)	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Mira_(Mirialan)	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Gundark	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Gundark	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Delta-class_carrier	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Delta-class_carrier	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/GXR-5_Sabotage_Droid	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/GXR-5_Sabotage_Droid	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Katarr	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Katarr	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Utility_templates	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Utility_templates	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Bounty_hunter	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Bounty_Hunter	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Eternal_Alliance	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Eternal_Alliance	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ifan_Meredith	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Ifan_Meredith	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Sniper	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Sniper	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Koros_Spaceworks_interceptor	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Koros_Spaceworks_interceptor	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Novin_Kelke	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Novin_Kelke	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Revaak	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Revaak	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Zayne_Carrick	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Zayne_Carrick	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Category:Dashade	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Category:Dashade	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Ood_Bnar.jpg?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Ood_Bnar.jpg?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jamie_Glover	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Jamie_Glover	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Jedi_Temple_(Tython)	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Jedi_Temple_(Tython)	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/SD-0	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/SD-0	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/property/hyperdrive	http://dbkwik.webdatacommons.org/swtor.wikia.com/property/hyperdrive	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/RSISdirector.png?width=300	http://swtor.wikia.com/wiki/Special:FilePath/RSISdirector.png?width=300	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/SithFighter.jpg?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Sith_Fighter.jpg?width=300	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Rachael_Leigh_Cook.jpg	http://swtor.wikia.com/wiki/Special:FilePath/Rachael_Leigh_Cook.jpg	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Ters_Sendon	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Ters_Sendon	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Nikto_Sector	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Nikto_Sector	=	1.0000
http://starwars.wikia.com/wiki/Special:FilePath/Iridonia.jpg?width=300	http://swtor.wikia.com/wiki/Special:FilePath/Iridonia.jpg?width=300	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Telos_Security_Force	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Telos_Security_Force	=	1.0000
http://dbkwik.webdatacommons.org/starwars.wikia.com/resource/Dantooine	http://dbkwik.webdatacommons.org/swtor.wikia.com/resource/Dantooine	=	1.0000
